time,open,high,low,close
2018-09-17T00:00:00Z,6499.28,6826.28,6100,6702.22
2018-09-24T00:00:00Z,6703.37,6792.28,6324.96,6597.81
2018-10-01T00:00:00Z,6597.79,6641.35,6396.34,6577.63
2018-10-08T00:00:00Z,6574.15,6656.63,6055.28,6183
2018-10-15T00:00:00Z,6185.04,6756,6149.28,6413.38
2018-10-22T00:00:00Z,6412.62,6473,6354.26,6405.57
2018-10-29T00:00:00Z,6404.27,6475,6199.25,6421.76
2018-11-05T00:00:00Z,6428.23,6544,6269.46,6357.54
2018-11-12T00:00:00Z,6352.57,6388.21,5199.8,5559.26
2018-11-19T00:00:00Z,5553.01,5559.69,3474.73,3938.89
2018-11-26T00:00:00Z,3934.22,4409.77,3522.28,4102.05
2018-12-03T00:00:00Z,4099.63,4115.15,3210,3529.75
2018-12-10T00:00:00Z,3528.68,3588.43,3122.28,3193.78
2018-12-17T00:00:00Z,3191.41,4172.07,3181.26,3943.83
2018-12-24T00:00:00Z,3947.82,4236.84,3566,3835.79
2018-12-31T00:00:00Z,3831.03,4090,3629.66,4040.71
2019-01-07T00:00:00Z,4040.71,4112,3476,3515.95
2019-01-14T00:00:00Z,3517.03,3774,3470,3536.72
2019-01-21T00:00:00Z,3537.42,3657.89,3401.36,3533.23
2019-01-28T00:00:00Z,3532.23,3536.77,3322.19,3414.82
2019-02-04T00:00:00Z,3413.75,3711.04,3328.7,3650.37
2019-02-11T00:00:00Z,3651.32,3663.34,3531.01,3625.6
2019-02-18T00:00:00Z,3625.6,4190,3614.82,3730.68
2019-02-25T00:00:00Z,3733.78,3897.62,3658.19,3789.52
2019-03-04T00:00:00Z,3789.7,3950.25,3670,3897.92
2019-03-11T00:00:00Z,3898.14,4040,3775.01,3965.5
2019-03-18T00:00:00Z,3965.63,4055.35,3919.63,3969.99
2019-03-25T00:00:00Z,3970.23,4130.36,3850.45,4096.08
2019-04-01T00:00:00Z,4092.02,5345,4052.56,5190.85
2019-04-08T00:00:00Z,5192.92,5466.06,4912,5162.72
2019-04-15T00:00:00Z,5160.54,5362.97,4948.57,5295.65
2019-04-22T00:00:00Z,5295.96,5627,4991.42,5160.98
2019-04-29T00:00:00Z,5152.98,5846.13,5071.58,5709.32
2019-05-06T00:00:00Z,5714.4,7585,5562.44,6974.35
2019-05-13T00:00:00Z,6968.84,8390.95,6178,8200
2019-05-20T00:00:00Z,8193.45,8802.29,7468.31,8733.26
2019-05-27T00:00:00Z,8733.27,9096.79,8000,8734.49
2019-06-03T00:00:00Z,8735.84,8745.96,7432.84,7632.99
2019-06-10T00:00:00Z,7629.98,9391.85,7523.16,8974.19
2019-06-17T00:00:00Z,8973.02,11247.62,8918,10831.95
2019-06-24T00:00:00Z,10827.23,13880,10300,10760.1
2019-07-01T00:00:00Z,10759.24,12061.04,9614.08,11469.96
2019-07-08T00:00:00Z,11478.43,13200,10090,10191.87
2019-07-15T00:00:00Z,10191.87,11120,9049.54,10600.24
2019-07-22T00:00:00Z,10605.03,10686.89,9111,9533.19
2019-07-29T00:00:00Z,9538.73,11085.99,9360,10986.96
2019-08-05T00:00:00Z,10986.55,12325,10986.55,11528.73
2019-08-12T00:00:00Z,11527.44,11551.57,9467.57,10318.99
2019-08-19T00:00:00Z,10318.99,10955.48,9755.53,10136.75
2019-08-26T00:00:00Z,10136.75,10650,9320,9767.53
2019-09-02T00:00:00Z,9767.56,10949,9753.24,10400.18
2019-09-09T00:00:00Z,10387.33,10542.93,9855.11,10305.74
2019-09-16T00:00:00Z,10320.36,10380.07,9600,10020.58
2019-09-23T00:00:00Z,10022.38,10048.06,7733.99,8047.6
2019-09-30T00:00:00Z,8060.13,8531.25,7714.7,7854.12
2019-10-07T00:00:00Z,7863.75,8820,7763.54,8282.96
2019-10-14T00:00:00Z,8278.39,8420.85,7811.62,8235.74
2019-10-21T00:00:00Z,8236.49,10350,7293.55,9557.08
2019-10-28T00:00:00Z,9547.32,9950,8961.53,9207
2019-11-04T00:00:00Z,9207,9586.5,8661,9024.49
2019-11-11T00:00:00Z,9029.88,9075.32,8363,8499.31
2019-11-18T00:00:00Z,8499.53,8508.4,6785,6908.36
2019-11-25T00:00:00Z,6900.9,7870.35,6515,7412.66
2019-12-02T00:00:00Z,7411.75,7772.71,7087.09,7524.26
2019-12-09T00:00:00Z,7516.8,7666,7007,7115.08
2019-12-16T00:00:00Z,7115.08,7530,6425,7509.7
2019-12-23T00:00:00Z,7521.88,7692.98,7052,7385.54
2019-12-30T00:00:00Z,7372.79,7495,6853.53,7356.7
2020-01-06T00:00:00Z,7352.12,8463.57,7342.46,8180.76
2020-01-13T00:00:00Z,8180.75,9188.1,8039,8696.6
2020-01-20T00:00:00Z,8698.97,8792.98,8212.9,8590.48
2020-01-27T00:00:00Z,8600,9570,8546.55,9329.39
2020-02-03T00:00:00Z,9309.69,10178.54,9075,10173.97
2020-02-10T00:00:00Z,10173.51,10500.5,9598.49,9912.89
2020-02-17T00:00:00Z,9925.96,10300,9312,9965.21
2020-02-24T00:00:00Z,9969.79,10027.66,8410,8528.95
2020-03-02T00:00:00Z,8516,9219.13,7995.48,8033.7
2020-03-09T00:00:00Z,8035.79,8191.13,3850,5343.64
2020-03-16T00:00:00Z,5353.04,7139,4435.89,5813.15
2020-03-23T00:00:00Z,5816.57,6989.04,5686.34,5870.9
2020-03-30T00:00:00Z,5878.47,7236.39,5856,6775.2
2020-04-06T00:00:00Z,6780.57,7469,6750.15,6908.24
2020-04-13T00:00:00Z,6908.21,7306.15,6472.67,7126.4
2020-04-20T00:00:00Z,7124.27,7756.69,6757.75,7701.73
2020-04-27T00:00:00Z,7708.87,9485.26,7637.03,8915.98
2020-05-04T00:00:00Z,8924.14,10074,8109,8731.17
2020-05-11T00:00:00Z,8740.88,9945.34,8181,9665.7
2020-05-18T00:00:00Z,9672.95,9966.12,8669,8718.77
2020-05-25T00:00:00Z,8710.12,9758.27,8630,9446.19
2020-06-01T00:00:00Z,9444.61,10429.26,9135.68,9750.04
2020-06-08T00:00:00Z,9759.04,10011.4,9078.91,9329.99
2020-06-15T00:00:00Z,9329.99,9596.31,8900,9283.03
2020-06-22T00:00:00Z,9287.89,9798.76,8830.63,9118.01
2020-06-29T00:00:00Z,9118.8,9300,8905,9076.82
2020-07-06T00:00:00Z,9077.18,9479.57,9053.14,9306.17
